name,dialog
SpongeBob," This is it, Gary!"
Gary," Meow. [SpongeBob's bed bounces up and flings SpongeBob onto the calendar, where he lands on March 3rd with the words ""boating exam today!"" on it then drops to the floor]"
SpongeBob," The big boating exam is today! I've never felt so capable! [A door opens from underneath him. He comes out of his house riding a unicycle] I'm ready, I'm ready, I'm ready. Squidward! Squidward!"
Squidward, What?
SpongeBob," I'm ready, Squidward! [rides his unicycle around Squidward's house]"
Squidward, Ready to move?
SpongeBob," No, I'm ready to pass my boating test. [rides his unicycle towards Mrs. Puff's Boating School] I'm ready, I'm ready, I'm ready... [stops his unicycle near a dumpster and jumps off of it] I'm ready-eady-eady-eady-eady-eady-eady-eady-ready. Well, pal, I won't be needing you anymore. [throws the unicycle into the dumpster] I'm ready, I'm ready, I'm ready! Oh, yeah! I'm ready!"
SpongeBob," [snaps his fingers] Hey, I'm getting mine next!"
SpongeBob," Okay, see you on the road. I'm ready! Here I come, Mrs. Puff! I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready. [jumps around the boardwalk. Camera goes inside the school, as a female pufferfish looks out the window and sees SpongeBob jumping around.]"
Puff, [sighs] I'm not ready. [opens the door]
SpongeBob," Hi, Mrs. Puff! Today is the day I'm going to pass my boating exam!"
Puff," [with a clipboard and a pen in hand] We'll see about that, SpongeBob. First we must..."
SpongeBob, First I must pass the oral exam. I am confident in my abilities to successfully succeed.
Puff," I know. Okay, #1: What is the front of the boat?"
SpongeBob, The bow. [Mrs. Puff writes down his answer]
Puff, What is the back?
SpongeBob, Stern. [Mrs. Puff writes down his answer]
Puff, #3: Right is...
SpongeBob, Starboard. [answers the remaining questions] Port. Skipper. Deck. Cabin. Galley. Keel. 1924. [Mrs. Puff writes down his answers]
Puff," You've passed the oral test. [sarcastically] What a surprise. [gets in the boat and secures herself tightly] Now it's time to once again take the driving portion of the exam. Okay, SpongeBob, get in the boat."
SpongeBob," Oh, in this boat right here? [looks at his watch] Is it time already?"
Puff," Get in the boat, SpongeBob."
SpongeBob," Oh yeah, absolutely. [gets in and closes his eyes with a smile]"
Puff, All you have to do is get on the track.
Puff," Okay, SpongeBob, what's the first thing you do?"
SpongeBob, 1924...?
Puff," No, no. First thing is to start the boat. [turns the engine on and SpongeBob goes crazy] SpongeBob? SpongeBob? Relax, it's only the boat."
SpongeBob, The boat?
Puff," Okay, now what do you do next?"
SpongeBob, Floor it?
Puff," Yes... no! No, don't floor it."
SpongeBob, Floor it?!
Puff," No, no, don't, don't floor it!"
SpongeBob," Okay, floor it! [SpongeBob slams on the accelerator and starts driving backwards really fast]"
Puff," No! No, no, no, nooooo! [the boat whizzes by some spectators before crashing into a lighthouse. After crashing, Mrs. Puff inflates to three times her size. The lighthouse falls, and Mrs. Puff speaks with a deep voice] Oh, SpongeBob, why?"
Fred, My leg...!
SpongeBob," [in his bed at night] I don't know why, Gary. I don't know. I'm tired of failing that boating test. I've already taken it 37 times."
Gary, Meow.
SpongeBob," Okay, 38. [puts his pillow on his head]"
Gary, [puts on SpongeBob's boots] Meow.
SpongeBob," No, Gary, I'm not walking."
Patrick," [over walkie-talkie in SpongeBob's bed] SpongeBob, this is Star Ranger, over."
SpongeBob," [through walkie-talkie] What is it, Patrick?"
Patrick, [through walkie-talkie] I got a surprise for you.
SpongeBob," [through walkie-talkie] Oh, Patrick, I'm not in the mood."
Patrick, [through walkie-talkie] Get out of bed. [SpongeBob gets out of bed]
SpongeBob," [through walkie-talkie] Okay, now what, Patrick?"
